Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:51.851512195,2.0,1,0 days 00:01:45.528000,17.0,0,2019,Belgian Grand Prix
BOT,0 days 00:01:49.907756097,2.0,1,0 days 00:01:43.415000,4.0,0,2019,Belgian Grand Prix
GAS,0 days 00:01:52.449097560,2.0,1,0 days 00:01:46.435000,13.0,0,2019,Belgian Grand Prix
GIO,0 days 00:01:52.332333333,2.0,1,0 days 00:01:45.637000,18.0,0,2019,Belgian Grand Prix
GRO,0 days 00:01:52.774350,2.0,1,0 days 00:01:44.797000,9.0,0,2019,Belgian Grand Prix
HAM,0 days 00:01:49.605292682,2.0,1,0 days 00:01:43.282000,3.0,0,2019,Belgian Grand Prix
HUL,0 days 00:01:52.488878048,3.0,2,0 days 00:01:44.542000,12.0,0,2019,Belgian Grand Prix
KVY,0 days 00:01:52.022121951,2.0,1,0 days 00:01:46.518000,19.0,0,2019,Belgian Grand Prix
LEC,0 days 00:01:49.529121951,2.0,1,0 days 00:01:42.519000,1.0,1,2019,Belgian Grand Prix
MAG,0 days 00:01:52.637325,2.0,1,0 days 00:01:44.738000,8.0,0,2019,Belgian Grand Prix
NOR,0 days 00:01:51.284450,2.0,1,0 days 00:01:44.847000,11.0,0,2019,Belgian Grand Prix
PER,0 days 00:01:51.820780487,2.0,1,0 days 00:01:44.706000,7.0,0,2019,Belgian Grand Prix
RAI,0 days 00:01:53.894175,4.0,3,0 days 00:01:44.140000,6.0,0,2019,Belgian Grand Prix
RIC,0 days 00:01:53.335625,2.0,1,0 days 00:01:44.103000,10.0,0,2019,Belgian Grand Prix
RUS,0 days 00:01:53.458375,2.0,1,0 days 00:01:47.548000,14.0,0,2019,Belgian Grand Prix
SAI,0 days 00:03:14.682000,1.0,1,0 days 00:01:46.507000,15.0,0,2019,Belgian Grand Prix
STR,0 days 00:01:52.478780487,3.0,2,0 days 00:01:45.047000,16.0,0,2019,Belgian Grand Prix
VET,0 days 00:01:50.216951219,3.0,2,0 days 00:01:43.037000,2.0,0,2019,Belgian Grand Prix
