Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:19.008521126,3.0,2,0 days 00:01:07.935000,5.0,0,2019,Brazilian Grand Prix
BOT,0 days 00:01:14.513313725,3.0,2,0 days 00:01:07.874000,4.0,0,2019,Brazilian Grand Prix
GAS,0 days 00:01:18.883873239,3.0,2,0 days 00:01:08.770000,6.0,0,2019,Brazilian Grand Prix
GIO,0 days 00:01:18.941957746,3.0,2,0 days 00:01:08.919000,12.0,0,2019,Brazilian Grand Prix
GRO,0 days 00:01:18.998943661,3.0,2,0 days 00:01:08.705000,7.0,0,2019,Brazilian Grand Prix
HAM,0 days 00:01:18.884746478,4.0,3,0 days 00:01:07.699000,3.0,0,2019,Brazilian Grand Prix
HUL,0 days 00:01:18.982211267,4.0,3,0 days 00:01:08.921000,13.0,0,2019,Brazilian Grand Prix
KUB,0 days 00:01:20.181000,5.0,4,0 days 00:01:10.614000,19.0,0,2019,Brazilian Grand Prix
KVY,0 days 00:01:18.966323943,3.0,2,0 days 00:01:09.320000,16.0,0,2019,Brazilian Grand Prix
LEC,0 days 00:01:17.012323076,3.0,2,0 days 00:01:07.728000,14.0,0,2019,Brazilian Grand Prix
MAG,0 days 00:01:19.051681159,3.0,2,0 days 00:01:08.803000,9.0,0,2019,Brazilian Grand Prix
NOR,0 days 00:01:18.956084507,3.0,2,0 days 00:01:08.868000,10.0,0,2019,Brazilian Grand Prix
PER,0 days 00:01:18.960661971,3.0,2,0 days 00:01:09.035000,15.0,0,2019,Brazilian Grand Prix
RAI,0 days 00:01:18.931408450,3.0,2,0 days 00:01:08.858000,8.0,0,2019,Brazilian Grand Prix
RIC,0 days 00:01:18.946746478,3.0,2,0 days 00:01:08.903000,11.0,0,2019,Brazilian Grand Prix
RUS,0 days 00:01:18.989816901,4.0,3,0 days 00:01:10.126000,18.0,0,2019,Brazilian Grand Prix
SAI,0 days 00:01:18.923577464,2.0,1,0 days 00:01:21.912000,20.0,0,2019,Brazilian Grand Prix
STR,0 days 00:01:17.295553846,3.0,2,0 days 00:01:09.536000,17.0,0,2019,Brazilian Grand Prix
VER,0 days 00:01:18.798281690,4.0,3,0 days 00:01:07.503000,1.0,1,2019,Brazilian Grand Prix
VET,0 days 00:01:17.005338461,3.0,2,0 days 00:01:07.631000,2.0,0,2019,Brazilian Grand Prix
