Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:38.145734375,5.0,4,0 days 00:01:13.461000,16.0,0,2019,German Grand Prix
BOT,0 days 00:01:38.902267857,5.0,4,0 days 00:01:12.129000,3.0,0,2019,German Grand Prix
GAS,0 days 00:01:39.142180327,5.0,4,0 days 00:01:12.180000,4.0,0,2019,German Grand Prix
GIO,0 days 00:01:38.205062500,5.0,4,0 days 00:01:12.786000,11.0,0,2019,German Grand Prix
GRO,0 days 00:01:37.403873015,6.0,5,0 days 00:01:12.769000,6.0,0,2019,German Grand Prix
HAM,0 days 00:01:36.142096774,7.0,6,0 days 00:01:11.767000,1.0,0,2019,German Grand Prix
HUL,0 days 00:01:41.270076923,4.0,3,0 days 00:01:12.766000,9.0,0,2019,German Grand Prix
KUB,0 days 00:01:38.379093750,6.0,5,0 days 00:01:14.839000,18.0,0,2019,German Grand Prix
KVY,0 days 00:01:38.118437500,5.0,4,0 days 00:01:13.135000,14.0,0,2019,German Grand Prix
LEC,0 days 00:01:36.379814814,3.0,3,0 days 00:01:12.229000,10.0,0,2019,German Grand Prix
MAG,0 days 00:01:38.281875,7.0,6,0 days 00:01:12.789000,12.0,0,2019,German Grand Prix
NOR,0 days 00:01:39.179600,2.0,2,0 days 00:01:13.333000,19.0,0,2019,German Grand Prix
PER,0 days 00:01:52.843000,1.0,0,0 days 00:01:12.776000,8.0,0,2019,German Grand Prix
RAI,0 days 00:01:38.179515625,5.0,4,0 days 00:01:12.519000,5.0,0,2019,German Grand Prix
RIC,0 days 00:01:42.482615384,2.0,1,0 days 00:01:12.799000,13.0,0,2019,German Grand Prix
RUS,0 days 00:01:38.401234375,6.0,5,0 days 00:01:14.721000,17.0,0,2019,German Grand Prix
SAI,0 days 00:01:38.138406250,4.0,3,0 days 00:01:12.632000,7.0,0,2019,German Grand Prix
STR,0 days 00:01:37.277476190,6.0,5,0 days 00:01:13.256000,15.0,0,2019,German Grand Prix
VER,0 days 00:01:37.988671875,6.0,5,0 days 00:01:12.113000,2.0,1,2019,German Grand Prix
