Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:26.527924528,2.0,1,0 days 00:01:20.021000,8.0,0,2019,Italian Grand Prix
BOT,0 days 00:01:25.424528301,2.0,1,0 days 00:01:19.354000,3.0,0,2019,Italian Grand Prix
GAS,0 days 00:01:27.171230769,2.0,1,0 days 00:01:20.508000,17.0,0,2019,Italian Grand Prix
GIO,0 days 00:01:27.107173076,2.0,1,0 days 00:01:20.517000,10.0,0,2019,Italian Grand Prix
GRO,0 days 00:01:28.681538461,3.0,2,0 days 00:01:20.784000,13.0,0,2019,Italian Grand Prix
HAM,0 days 00:01:26.072905660,3.0,2,0 days 00:01:19.346000,2.0,0,2019,Italian Grand Prix
HUL,0 days 00:01:26.506226415,2.0,1,0 days 00:01:20.049000,6.0,0,2019,Italian Grand Prix
KUB,0 days 00:01:29.293803921,3.0,2,0 days 00:01:22.356000,15.0,0,2019,Italian Grand Prix
KVY,0 days 00:01:27.661965517,2.0,1,0 days 00:01:20.630000,12.0,0,2019,Italian Grand Prix
LEC,0 days 00:01:25.408773584,2.0,1,0 days 00:01:19.307000,1.0,1,2019,Italian Grand Prix
MAG,0 days 00:01:28.616558139,3.0,3,0 days 00:01:20.615000,11.0,0,2019,Italian Grand Prix
NOR,0 days 00:01:27.136250,2.0,1,0 days 00:01:20.646000,16.0,0,2019,Italian Grand Prix
PER,0 days 00:01:26.801264150,2.0,1,0 days 00:01:21.291000,18.0,0,2019,Italian Grand Prix
RAI,0 days 00:01:28.305096153,3.0,2,0 days 00:01:20.515000,0.0,0,2019,Italian Grand Prix
RIC,0 days 00:01:26.267547169,2.0,1,0 days 00:01:19.833000,5.0,0,2019,Italian Grand Prix
RUS,0 days 00:01:27.835288461,2.0,1,0 days 00:01:21.800000,14.0,0,2019,Italian Grand Prix
SAI,0 days 00:01:26.497259259,1.0,1,0 days 00:01:20.202000,7.0,0,2019,Italian Grand Prix
STR,0 days 00:01:27.418884615,3.0,2,0 days 00:01:20.498000,9.0,0,2019,Italian Grand Prix
VER,0 days 00:01:26.814283018,3.0,2,0 days 00:01:41.922000,19.0,0,2019,Italian Grand Prix
VET,0 days 00:01:27.806769230,4.0,3,0 days 00:01:19.457000,4.0,0,2019,Italian Grand Prix
