Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:22.116943661,3.0,2,0 days 00:01:15.336000,5.0,0,2019,Mexican Grand Prix
BOT,0 days 00:01:21.865591549,2.0,1,0 days 00:01:15.338000,6.0,0,2019,Mexican Grand Prix
GAS,0 days 00:01:23.317014285,3.0,2,0 days 00:01:16.586000,10.0,0,2019,Mexican Grand Prix
GIO,0 days 00:01:23.787942857,2.0,1,0 days 00:01:17.269000,15.0,0,2019,Mexican Grand Prix
GRO,0 days 00:01:24.939072463,2.0,1,0 days 00:01:18.599000,18.0,0,2019,Mexican Grand Prix
HAM,0 days 00:01:21.815549295,2.0,1,0 days 00:01:15.262000,3.0,1,2019,Mexican Grand Prix
HUL,0 days 00:01:23.378785714,2.0,1,0 days 00:01:16.885000,12.0,0,2019,Mexican Grand Prix
KUB,0 days 00:01:25.073840579,3.0,2,0 days 00:01:20.179000,20.0,0,2019,Mexican Grand Prix
KVY,0 days 00:01:23.273157142,3.0,2,0 days 00:01:16.469000,9.0,0,2019,Mexican Grand Prix
LEC,0 days 00:01:21.905239436,3.0,2,0 days 00:01:15.024000,1.0,0,2019,Mexican Grand Prix
MAG,0 days 00:01:24.209985507,2.0,1,0 days 00:01:18.436000,17.0,0,2019,Mexican Grand Prix
NOR,0 days 00:01:24.296765957,2.0,2,0 days 00:01:16.322000,8.0,0,2019,Mexican Grand Prix
PER,0 days 00:01:22.855253521,2.0,1,0 days 00:01:16.687000,11.0,0,2019,Mexican Grand Prix
RAI,0 days 00:01:24.401465517,3.0,3,0 days 00:01:16.967000,14.0,0,2019,Mexican Grand Prix
RIC,0 days 00:01:22.870816901,2.0,1,0 days 00:01:16.933000,13.0,0,2019,Mexican Grand Prix
RUS,0 days 00:01:24.870942028,2.0,1,0 days 00:01:18.823000,19.0,0,2019,Mexican Grand Prix
SAI,0 days 00:01:23.489014285,3.0,2,0 days 00:01:16.014000,7.0,0,2019,Mexican Grand Prix
STR,0 days 00:01:23.445928571,2.0,1,0 days 00:01:18.065000,16.0,0,2019,Mexican Grand Prix
VER,0 days 00:01:22.784661971,2.0,1,0 days 00:01:14.758000,4.0,0,2019,Mexican Grand Prix
VET,0 days 00:01:21.840422535,2.0,1,0 days 00:01:15.170000,2.0,0,2019,Mexican Grand Prix
