Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:42.030196428,4.0,3,0 days 00:01:32.548000,6.0,0,2019,United States Grand Prix
BOT,0 days 00:01:40.636660714,3.0,2,0 days 00:01:32.029000,1.0,1,2019,United States Grand Prix
GAS,0 days 00:01:43.538500,3.0,3,0 days 00:01:33.556000,10.0,0,2019,United States Grand Prix
GIO,0 days 00:01:43.444418181,3.0,2,0 days 00:01:34.226000,16.0,0,2019,United States Grand Prix
GRO,0 days 00:01:43.761545454,2.0,1,0 days 00:01:34.158000,15.0,0,2019,United States Grand Prix
HAM,0 days 00:01:40.710732142,2.0,1,0 days 00:01:32.321000,5.0,0,2019,United States Grand Prix
HUL,0 days 00:01:42.693000,3.0,2,0 days 00:01:33.815000,11.0,0,2019,United States Grand Prix
KUB,0 days 00:01:46.325451612,2.0,2,0 days 00:01:35.889000,19.0,0,2019,United States Grand Prix
KVY,0 days 00:01:42.771272727,3.0,2,0 days 00:01:33.785000,13.0,0,2019,United States Grand Prix
LEC,0 days 00:01:41.569500,3.0,2,0 days 00:01:32.137000,4.0,0,2019,United States Grand Prix
MAG,0 days 00:01:43.729250,3.0,2,0 days 00:01:33.812000,12.0,0,2019,United States Grand Prix
NOR,0 days 00:01:42.257446428,3.0,2,0 days 00:01:33.175000,8.0,0,2019,United States Grand Prix
PER,0 days 00:01:42.806454545,2.0,1,0 days 00:01:35.808000,0.0,0,2019,United States Grand Prix
RAI,0 days 00:01:42.823272727,3.0,2,0 days 00:01:34.369000,17.0,0,2019,United States Grand Prix
RIC,0 days 00:01:42.250339285,2.0,1,0 days 00:01:33.488000,9.0,0,2019,United States Grand Prix
RUS,0 days 00:01:44.780314814,3.0,2,0 days 00:01:35.372000,18.0,0,2019,United States Grand Prix
SAI,0 days 00:01:42.621836363,2.0,1,0 days 00:01:32.847000,7.0,0,2019,United States Grand Prix
STR,0 days 00:01:43.228636363,3.0,2,0 days 00:01:33.921000,14.0,0,2019,United States Grand Prix
VER,0 days 00:01:40.725982142,3.0,2,0 days 00:01:32.096000,3.0,0,2019,United States Grand Prix
VET,0 days 00:01:43.304285714,1.0,1,0 days 00:01:32.041000,2.0,0,2019,United States Grand Prix
