Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:32.714211538,3.0,2,0 days 00:01:26.642000,9.0,0,2020,70th Anniversary Grand Prix
BOT,0 days 00:01:32.331230769,3.0,2,0 days 00:01:25.154000,1.0,0,2020,70th Anniversary Grand Prix
GAS,0 days 00:01:33.319903846,3.0,2,0 days 00:01:26.523000,7.0,0,2020,70th Anniversary Grand Prix
GIO,0 days 00:01:34.372686274,3.0,2,0 days 00:01:28.433000,19.0,0,2020,70th Anniversary Grand Prix
GRO,0 days 00:01:34.258960784,3.0,2,0 days 00:01:27.254000,13.0,0,2020,70th Anniversary Grand Prix
HAM,0 days 00:01:32.179211538,3.0,2,0 days 00:01:25.217000,2.0,0,2020,70th Anniversary Grand Prix
HUL,0 days 00:01:33.037384615,4.0,3,0 days 00:01:26.082000,3.0,0,2020,70th Anniversary Grand Prix
KVY,0 days 00:01:33.301192307,3.0,2,0 days 00:01:27.882000,16.0,0,2020,70th Anniversary Grand Prix
LAT,0 days 00:01:34.401882352,4.0,3,0 days 00:01:28.430000,18.0,0,2020,70th Anniversary Grand Prix
LEC,0 days 00:01:32.524653846,2.0,1,0 days 00:01:26.614000,8.0,0,2020,70th Anniversary Grand Prix
MAG,0 days 00:01:35.241023255,3.0,3,0 days 00:01:28.236000,17.0,0,2020,70th Anniversary Grand Prix
NOR,0 days 00:01:33.221865384,3.0,2,0 days 00:01:26.778000,10.0,0,2020,70th Anniversary Grand Prix
OCO,0 days 00:01:33.207038461,2.0,1,0 days 00:01:27.011000,14.0,0,2020,70th Anniversary Grand Prix
RAI,0 days 00:01:34.216411764,2.0,1,0 days 00:01:28.493000,20.0,0,2020,70th Anniversary Grand Prix
RIC,0 days 00:01:33.894980392,4.0,3,0 days 00:01:26.297000,5.0,0,2020,70th Anniversary Grand Prix
RUS,0 days 00:01:34.389980392,4.0,3,0 days 00:01:27.455000,15.0,0,2020,70th Anniversary Grand Prix
SAI,0 days 00:01:33.385826923,3.0,2,0 days 00:01:27.083000,12.0,0,2020,70th Anniversary Grand Prix
STR,0 days 00:01:32.779442307,3.0,2,0 days 00:01:26.428000,6.0,0,2020,70th Anniversary Grand Prix
VER,0 days 00:01:31.961403846,3.0,2,0 days 00:01:26.176000,4.0,1,2020,70th Anniversary Grand Prix
VET,0 days 00:01:33.372365384,3.0,2,0 days 00:01:27.078000,11.0,0,2020,70th Anniversary Grand Prix
