Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:42.026962962,4.0,3,0 days 00:01:28.274000,4.0,0,2020,Bahrain Grand Prix
BOT,0 days 00:01:42.141500,5.0,4,0 days 00:01:27.553000,2.0,0,2020,Bahrain Grand Prix
GAS,0 days 00:01:42.187888888,3.0,2,0 days 00:01:28.448000,8.0,0,2020,Bahrain Grand Prix
GIO,0 days 00:01:44.149886792,4.0,3,0 days 00:01:29.491000,16.0,0,2020,Bahrain Grand Prix
HAM,0 days 00:01:40.768452830,4.0,3,0 days 00:01:27.264000,1.0,1,2020,Bahrain Grand Prix
KVY,0 days 00:01:44.566169811,4.0,3,0 days 00:01:28.618000,10.0,0,2020,Bahrain Grand Prix
LAT,0 days 00:01:44.430264150,4.0,3,0 days 00:01:30.182000,20.0,0,2020,Bahrain Grand Prix
LEC,0 days 00:01:42.258313725,4.0,3,0 days 00:01:29.137000,12.0,0,2020,Bahrain Grand Prix
MAG,0 days 00:01:45.333685185,5.0,4,0 days 00:01:30.111000,18.0,0,2020,Bahrain Grand Prix
NOR,0 days 00:01:42.475092592,4.0,3,0 days 00:01:28.542000,9.0,0,2020,Bahrain Grand Prix
OCO,0 days 00:01:42.497240740,4.0,3,0 days 00:01:28.419000,7.0,0,2020,Bahrain Grand Prix
PER,0 days 00:01:40.392940,4.0,3,0 days 00:01:28.322000,5.0,0,2020,Bahrain Grand Prix
RAI,0 days 00:01:44.547962264,4.0,3,0 days 00:01:29.810000,17.0,0,2020,Bahrain Grand Prix
RIC,0 days 00:01:42.215148148,4.0,3,0 days 00:01:28.417000,6.0,0,2020,Bahrain Grand Prix
RUS,0 days 00:01:44.406867924,4.0,3,0 days 00:01:29.294000,14.0,0,2020,Bahrain Grand Prix
SAI,0 days 00:01:42.695132075,4.0,3,0 days 00:01:28.975000,15.0,0,2020,Bahrain Grand Prix
STR,0 days 00:02:45.807000,2.0,1,0 days 00:01:28.679000,13.0,0,2020,Bahrain Grand Prix
VER,0 days 00:01:41.866296296,5.0,4,0 days 00:01:27.678000,3.0,0,2020,Bahrain Grand Prix
VET,0 days 00:01:44.314867924,4.0,3,0 days 00:01:29.142000,11.0,0,2020,Bahrain Grand Prix
