Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:35.936304347,2.0,2,0 days 00:01:26.047000,5.0,0,2020,Eifel Grand Prix
BOT,0 days 00:01:36.654277777,2.0,2,0 days 00:01:25.269000,1.0,0,2020,Eifel Grand Prix
GAS,0 days 00:01:36.206783333,3.0,2,0 days 00:01:26.776000,12.0,0,2020,Eifel Grand Prix
GIO,0 days 00:01:36.494600,3.0,2,0 days 00:01:26.936000,14.0,0,2020,Eifel Grand Prix
GRO,0 days 00:01:36.478700,2.0,1,0 days 00:01:27.118000,16.0,0,2020,Eifel Grand Prix
HAM,0 days 00:01:32.578385964,3.0,2,0 days 00:01:25.390000,2.0,1,2020,Eifel Grand Prix
HUL,0 days 00:01:36.370616666,3.0,2,0 days 00:01:28.021000,20.0,0,2020,Eifel Grand Prix
KVY,0 days 00:01:36.753816666,3.0,2,0 days 00:01:26.848000,13.0,0,2020,Eifel Grand Prix
LAT,0 days 00:01:36.734833333,3.0,2,0 days 00:01:27.812000,18.0,0,2020,Eifel Grand Prix
LEC,0 days 00:01:36.340916666,3.0,2,0 days 00:01:26.035000,4.0,0,2020,Eifel Grand Prix
MAG,0 days 00:01:36.653766666,3.0,2,0 days 00:01:27.125000,15.0,0,2020,Eifel Grand Prix
NOR,0 days 00:01:34.655976190,2.0,1,0 days 00:01:26.316000,8.0,0,2020,Eifel Grand Prix
OCO,0 days 00:01:35.924590909,1.0,1,0 days 00:01:26.242000,7.0,0,2020,Eifel Grand Prix
PER,0 days 00:01:36.095183333,3.0,2,0 days 00:01:26.330000,9.0,0,2020,Eifel Grand Prix
RAI,0 days 00:01:36.518616666,3.0,2,0 days 00:01:27.817000,19.0,0,2020,Eifel Grand Prix
RIC,0 days 00:01:36.070900,3.0,2,0 days 00:01:26.096000,6.0,0,2020,Eifel Grand Prix
RUS,0 days 00:01:38.121083333,2.0,1,0 days 00:01:27.564000,17.0,0,2020,Eifel Grand Prix
SAI,0 days 00:01:36.192433333,3.0,2,0 days 00:01:26.361000,10.0,0,2020,Eifel Grand Prix
VER,0 days 00:01:32.852421052,3.0,2,0 days 00:01:25.467000,3.0,0,2020,Eifel Grand Prix
VET,0 days 00:01:36.507516666,3.0,2,0 days 00:01:26.738000,11.0,0,2020,Eifel Grand Prix
