Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:25.233555555,3.0,2,0 days 00:01:14.572000,6.0,0,2020,Emilia Romagna Grand Prix
BOT,0 days 00:01:24.416079365,3.0,2,0 days 00:01:13.609000,1.0,0,2020,Emilia Romagna Grand Prix
GAS,0 days 00:01:22.098375,1.0,1,0 days 00:01:14.502000,4.0,0,2020,Emilia Romagna Grand Prix
GIO,0 days 00:01:24.743301587,2.0,1,0 days 00:01:16.208000,20.0,0,2020,Emilia Romagna Grand Prix
GRO,0 days 00:01:24.767698412,3.0,2,0 days 00:01:15.918000,16.0,0,2020,Emilia Romagna Grand Prix
HAM,0 days 00:01:24.324285714,3.0,2,0 days 00:01:13.706000,2.0,1,2020,Emilia Romagna Grand Prix
KVY,0 days 00:01:24.564619047,3.0,2,0 days 00:01:14.696000,8.0,0,2020,Emilia Romagna Grand Prix
LAT,0 days 00:01:24.755000,2.0,1,0 days 00:01:15.987000,19.0,0,2020,Emilia Romagna Grand Prix
LEC,0 days 00:01:24.627634920,2.0,1,0 days 00:01:14.616000,7.0,0,2020,Emilia Romagna Grand Prix
MAG,0 days 00:01:22.020659574,2.0,2,0 days 00:01:15.939000,17.0,0,2020,Emilia Romagna Grand Prix
NOR,0 days 00:01:24.659698412,3.0,2,0 days 00:01:14.814000,9.0,0,2020,Emilia Romagna Grand Prix
OCO,0 days 00:01:22.166518518,2.0,1,0 days 00:01:15.201000,12.0,0,2020,Emilia Romagna Grand Prix
PER,0 days 00:01:24.636222222,3.0,2,0 days 00:01:15.061000,11.0,0,2020,Emilia Romagna Grand Prix
RAI,0 days 00:01:24.677047619,2.0,1,0 days 00:01:15.758000,18.0,0,2020,Emilia Romagna Grand Prix
RIC,0 days 00:01:24.551587301,2.0,1,0 days 00:01:14.520000,5.0,0,2020,Emilia Romagna Grand Prix
RUS,0 days 00:01:22.042137254,2.0,1,0 days 00:01:15.323000,13.0,0,2020,Emilia Romagna Grand Prix
SAI,0 days 00:01:24.645396825,3.0,2,0 days 00:01:14.911000,10.0,0,2020,Emilia Romagna Grand Prix
STR,0 days 00:01:24.787190476,4.0,3,0 days 00:01:15.494000,15.0,0,2020,Emilia Romagna Grand Prix
VER,0 days 00:01:19.672960,2.0,1,0 days 00:01:14.176000,3.0,0,2020,Emilia Romagna Grand Prix
VET,0 days 00:01:24.775920634,3.0,2,0 days 00:01:15.274000,14.0,0,2020,Emilia Romagna Grand Prix
