Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:23.582700,3.0,2,0 days 00:01:15.715000,13.0,0,2020,Hungarian Grand Prix
BOT,0 days 00:01:22.598928571,4.0,3,0 days 00:01:13.554000,2.0,0,2020,Hungarian Grand Prix
GAS,0 days 00:01:31.351533333,2.0,2,0 days 00:01:15.508000,10.0,0,2020,Hungarian Grand Prix
GIO,0 days 00:01:24.734913043,4.0,3,0 days 00:01:16.506000,19.0,0,2020,Hungarian Grand Prix
GRO,0 days 00:01:24.418797101,2.0,1,0 days 00:01:16.407000,0.0,0,2020,Hungarian Grand Prix
HAM,0 days 00:01:22.463900,4.0,3,0 days 00:01:13.447000,1.0,1,2020,Hungarian Grand Prix
KVY,0 days 00:01:24.316260869,3.0,2,0 days 00:01:16.204000,17.0,0,2020,Hungarian Grand Prix
LAT,0 days 00:01:27.787921875,6.0,5,0 days 00:01:16.105000,15.0,0,2020,Hungarian Grand Prix
LEC,0 days 00:01:24.245826086,3.0,2,0 days 00:01:14.817000,6.0,0,2020,Hungarian Grand Prix
MAG,0 days 00:01:23.947768115,2.0,1,0 days 00:01:16.152000,0.0,0,2020,Hungarian Grand Prix
NOR,0 days 00:01:24.326971014,3.0,2,0 days 00:01:14.966000,8.0,0,2020,Hungarian Grand Prix
OCO,0 days 00:01:24.339666666,3.0,2,0 days 00:01:15.719000,14.0,0,2020,Hungarian Grand Prix
PER,0 days 00:01:23.755057971,3.0,2,0 days 00:01:14.545000,4.0,0,2020,Hungarian Grand Prix
RAI,0 days 00:01:24.435913043,3.0,2,0 days 00:01:16.614000,20.0,0,2020,Hungarian Grand Prix
RIC,0 days 00:01:23.768826086,3.0,2,0 days 00:01:15.661000,11.0,0,2020,Hungarian Grand Prix
RUS,0 days 00:01:24.751362318,4.0,3,0 days 00:01:15.585000,12.0,0,2020,Hungarian Grand Prix
SAI,0 days 00:01:23.977797101,3.0,2,0 days 00:01:15.027000,9.0,0,2020,Hungarian Grand Prix
STR,0 days 00:01:23.286457142,4.0,3,0 days 00:01:14.377000,3.0,0,2020,Hungarian Grand Prix
VER,0 days 00:01:22.588214285,3.0,2,0 days 00:01:14.849000,7.0,0,2020,Hungarian Grand Prix
VET,0 days 00:01:23.738565217,3.0,2,0 days 00:01:14.774000,5.0,0,2020,Hungarian Grand Prix
