Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:43.015510204,3.0,2,0 days 00:01:33.008000,15.0,0,2020,Russian Grand Prix
BOT,0 days 00:01:40.735693877,2.0,1,0 days 00:01:31.956000,3.0,1,2020,Russian Grand Prix
GAS,0 days 00:01:42.667938775,3.0,2,0 days 00:01:33,9.0,0,2020,Russian Grand Prix
GIO,0 days 00:01:43.285020833,2.0,1,0 days 00:01:34.594000,17.0,0,2020,Russian Grand Prix
GRO,0 days 00:01:44.136395833,3.0,2,0 days 00:01:34.592000,16.0,0,2020,Russian Grand Prix
HAM,0 days 00:01:41.187387755,2.0,1,0 days 00:01:31.304000,1.0,0,2020,Russian Grand Prix
KVY,0 days 00:01:42.315734693,2.0,1,0 days 00:01:33.249000,11.0,0,2020,Russian Grand Prix
LAT,0 days 00:01:44.246041666,2.0,1,0 days 00:01:35.066000,20.0,0,2020,Russian Grand Prix
LEC,0 days 00:01:42.118714285,2.0,1,0 days 00:01:33.239000,10.0,0,2020,Russian Grand Prix
MAG,0 days 00:01:43.271854166,2.0,1,0 days 00:01:34.681000,18.0,0,2020,Russian Grand Prix
NOR,0 days 00:01:43.778520833,3.0,2,0 days 00:01:32.847000,8.0,0,2020,Russian Grand Prix
OCO,0 days 00:01:42.141387755,2.0,1,0 days 00:01:32.624000,7.0,0,2020,Russian Grand Prix
PER,0 days 00:01:41.414040816,2.0,1,0 days 00:01:32.317000,4.0,0,2020,Russian Grand Prix
RAI,0 days 00:01:43.474125,2.0,1,0 days 00:01:35.267000,19.0,0,2020,Russian Grand Prix
RIC,0 days 00:01:41.730448979,2.0,1,0 days 00:01:32.218000,5.0,0,2020,Russian Grand Prix
RUS,0 days 00:01:44.850750,4.0,3,0 days 00:01:33.583000,13.0,0,2020,Russian Grand Prix
VER,0 days 00:01:40.901673469,2.0,1,0 days 00:01:31.867000,2.0,0,2020,Russian Grand Prix
VET,0 days 00:01:43.363895833,2.0,1,0 days 00:01:33.609000,14.0,0,2020,Russian Grand Prix
