Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
AIT,0 days 00:01:03.319402298,4.0,3,0 days 00:00:54.892000,17.0,0,2020,Sakhir Grand Prix
ALB,0 days 00:01:03.091448275,3.0,2,0 days 00:00:54.026000,12.0,0,2020,Sakhir Grand Prix
BOT,0 days 00:01:03.109229885,3.0,2,0 days 00:00:53.377000,1.0,0,2020,Sakhir Grand Prix
FIT,0 days 00:01:03.356000,4.0,3,0 days 00:00:55.426000,20.0,0,2020,Sakhir Grand Prix
GAS,0 days 00:01:03.168287356,3.0,2,0 days 00:00:53.941000,9.0,0,2020,Sakhir Grand Prix
GIO,0 days 00:01:03.209482758,3.0,2,0 days 00:00:54.377000,14.0,0,2020,Sakhir Grand Prix
KVY,0 days 00:01:03.099402298,3.0,2,0 days 00:00:53.856000,6.0,0,2020,Sakhir Grand Prix
LAT,0 days 00:01:03.070115384,2.0,1,0 days 00:00:54.796000,16.0,0,2020,Sakhir Grand Prix
MAG,0 days 00:01:03.304413793,3.0,2,0 days 00:00:54.705000,15.0,0,2020,Sakhir Grand Prix
NOR,0 days 00:01:03.156954022,3.0,2,0 days 00:00:54.194000,19.0,0,2020,Sakhir Grand Prix
OCO,0 days 00:01:03.053241379,2.0,1,0 days 00:00:53.995000,11.0,0,2020,Sakhir Grand Prix
PER,0 days 00:01:02.932344827,3.0,2,0 days 00:00:53.787000,5.0,1,2020,Sakhir Grand Prix
RAI,0 days 00:01:03.232954022,4.0,3,0 days 00:00:54.963000,18.0,0,2020,Sakhir Grand Prix
RIC,0 days 00:01:03.085563218,3.0,2,0 days 00:00:53.871000,7.0,0,2020,Sakhir Grand Prix
RUS,0 days 00:01:03.145632183,5.0,4,0 days 00:00:53.403000,2.0,0,2020,Sakhir Grand Prix
SAI,0 days 00:01:03.076942528,3.0,2,0 days 00:00:53.818000,8.0,0,2020,Sakhir Grand Prix
STR,0 days 00:01:03.068770114,2.0,1,0 days 00:00:53.840000,10.0,0,2020,Sakhir Grand Prix
VET,0 days 00:01:03.192241379,4.0,3,0 days 00:00:54.175000,13.0,0,2020,Sakhir Grand Prix
