Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:30.690490909,6.0,5,0 days 00:01:15.914000,4.0,0,2020,Tuscan Grand Prix
BOT,0 days 00:01:30.092563636,6.0,5,0 days 00:01:15.203000,2.0,0,2020,Tuscan Grand Prix
GIO,0 days 00:02:15.709200,1.0,0,0 days 00:01:17.220000,17.0,0,2020,Tuscan Grand Prix
GRO,0 days 00:01:33.076314814,6.0,5,0 days 00:01:17.069000,15.0,0,2020,Tuscan Grand Prix
HAM,0 days 00:01:29.827036363,6.0,5,0 days 00:01:15.144000,1.0,1,2020,Tuscan Grand Prix
KVY,0 days 00:01:31.745381818,6.0,5,0 days 00:01:16.854000,12.0,0,2020,Tuscan Grand Prix
LAT,0 days 00:02:14.828500,1.0,0,0 days 00:01:17.320000,19.0,0,2020,Tuscan Grand Prix
LEC,0 days 00:01:31.820381818,6.0,5,0 days 00:01:16.270000,5.0,0,2020,Tuscan Grand Prix
MAG,0 days 00:02:15.314600,1.0,0,0 days 00:01:17.348000,20.0,0,2020,Tuscan Grand Prix
NOR,0 days 00:01:31.446509090,6.0,5,0 days 00:01:16.640000,11.0,0,2020,Tuscan Grand Prix
OCO,0 days 00:02:14.154428571,2.0,2,0 days 00:01:16.297000,10.0,0,2020,Tuscan Grand Prix
PER,0 days 00:01:31.194745454,6.0,5,0 days 00:01:16.311000,7.0,0,2020,Tuscan Grand Prix
RAI,0 days 00:01:32.408740740,7.0,6,0 days 00:01:16.854000,13.0,0,2020,Tuscan Grand Prix
RIC,0 days 00:01:30.683745454,6.0,5,0 days 00:01:16.243000,8.0,0,2020,Tuscan Grand Prix
RUS,0 days 00:01:32.342436363,6.0,5,0 days 00:01:17.232000,18.0,0,2020,Tuscan Grand Prix
SAI,0 days 00:02:15.890800,1.0,0,0 days 00:01:16.522000,9.0,0,2020,Tuscan Grand Prix
STR,0 days 00:01:32.816575,4.0,3,0 days 00:01:16.271000,6.0,0,2020,Tuscan Grand Prix
VET,0 days 00:01:32.373418181,7.0,6,0 days 00:01:16.858000,14.0,0,2020,Tuscan Grand Prix
