Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALO,0 days 00:01:26.912560606,4.0,3,0 days 00:01:19.456000,13.0,0,2021,Portuguese Grand Prix
BOT,0 days 00:01:26.438651515,5.0,4,0 days 00:01:18.348000,1.0,0,2021,Portuguese Grand Prix
GAS,0 days 00:01:27.089151515,4.0,3,0 days 00:01:19.052000,9.0,0,2021,Portuguese Grand Prix
GIO,0 days 00:01:27.297892307,4.0,3,0 days 00:01:19.216000,12.0,0,2021,Portuguese Grand Prix
HAM,0 days 00:01:25.930621212,4.0,3,0 days 00:01:17.968000,2.0,1,2021,Portuguese Grand Prix
LAT,0 days 00:01:28.780000,4.0,3,0 days 00:01:20.285000,18.0,0,2021,Portuguese Grand Prix
LEC,0 days 00:01:26.775787878,4.0,3,0 days 00:01:18.769000,8.0,0,2021,Portuguese Grand Prix
MAZ,0 days 00:01:29.708656250,5.0,4,0 days 00:01:20.912000,20.0,0,2021,Portuguese Grand Prix
MSC,0 days 00:01:28.732046875,4.0,3,0 days 00:01:20.452000,19.0,0,2021,Portuguese Grand Prix
NOR,0 days 00:01:26.708939393,4.0,3,0 days 00:01:18.481000,7.0,0,2021,Portuguese Grand Prix
OCO,0 days 00:01:26.896515151,4.0,3,0 days 00:01:18.586000,6.0,0,2021,Portuguese Grand Prix
PER,0 days 00:01:26.532666666,4.0,3,0 days 00:01:18.845000,4.0,0,2021,Portuguese Grand Prix
RAI,0 days 00:01:33.673000,1.0,0,0 days 00:01:19.748000,15.0,0,2021,Portuguese Grand Prix
RIC,0 days 00:01:27.072575757,4.0,3,0 days 00:01:19.839000,16.0,0,2021,Portuguese Grand Prix
RUS,0 days 00:01:28.297907692,4.0,3,0 days 00:01:19.109000,11.0,0,2021,Portuguese Grand Prix
SAI,0 days 00:01:27.126909090,4.0,3,0 days 00:01:18.813000,5.0,0,2021,Portuguese Grand Prix
STR,0 days 00:01:27.389769230,4.0,3,0 days 00:01:19.913000,17.0,0,2021,Portuguese Grand Prix
TSU,0 days 00:01:27.639030769,4.0,3,0 days 00:01:19.463000,14.0,0,2021,Portuguese Grand Prix
VER,0 days 00:01:26.372257575,5.0,4,0 days 00:01:18.209000,3.0,0,2021,Portuguese Grand Prix
VET,0 days 00:01:27.378907692,4.0,3,0 days 00:01:18.970000,10.0,0,2021,Portuguese Grand Prix
