Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALO,0 days 00:01:11.144271428,2.0,1,0 days 00:01:04.574000,8.0,0,2021,Styrian Grand Prix
BOT,0 days 00:01:10.222985915,2.0,1,0 days 00:01:04.035000,5.0,0,2021,Styrian Grand Prix
GAS,0 days 00:02:03.661000,1.0,1,0 days 00:01:04.236000,6.0,0,2021,Styrian Grand Prix
GIO,0 days 00:01:11.399242857,2.0,1,0 days 00:01:04.913000,15.0,0,2021,Styrian Grand Prix
HAM,0 days 00:01:10.065746478,3.0,2,0 days 00:01:04.067000,2.0,0,2021,Styrian Grand Prix
LAT,0 days 00:01:12.682794117,3.0,2,0 days 00:01:05.175000,16.0,0,2021,Styrian Grand Prix
LEC,0 days 00:01:10.910814285,3.0,2,0 days 00:01:04.472000,7.0,0,2021,Styrian Grand Prix
MAZ,0 days 00:01:12.806161764,2.0,1,0 days 00:01:06.192000,20.0,0,2021,Styrian Grand Prix
MSC,0 days 00:01:12.200884057,2.0,1,0 days 00:01:06.041000,19.0,0,2021,Styrian Grand Prix
NOR,0 days 00:01:10.632585714,2.0,1,0 days 00:01:04.120000,3.0,0,2021,Styrian Grand Prix
OCO,0 days 00:01:11.299414285,2.0,1,0 days 00:01:05.217000,17.0,0,2021,Styrian Grand Prix
PER,0 days 00:01:10.230408450,3.0,2,0 days 00:01:04.168000,4.0,0,2021,Styrian Grand Prix
RAI,0 days 00:01:11.188685714,2.0,1,0 days 00:01:05.429000,18.0,0,2021,Styrian Grand Prix
RIC,0 days 00:01:11.278657142,2.0,1,0 days 00:01:04.808000,13.0,0,2021,Styrian Grand Prix
RUS,0 days 00:01:14.040388888,3.0,3,0 days 00:01:04.671000,10.0,0,2021,Styrian Grand Prix
SAI,0 days 00:01:10.732042857,2.0,1,0 days 00:01:04.711000,12.0,0,2021,Styrian Grand Prix
STR,0 days 00:01:12.190705882,2.0,1,0 days 00:01:04.663000,9.0,0,2021,Styrian Grand Prix
TSU,0 days 00:01:11.153914285,2.0,1,0 days 00:01:04.514000,11.0,0,2021,Styrian Grand Prix
VER,0 days 00:01:09.562323943,2.0,1,0 days 00:01:03.841000,1.0,1,2021,Styrian Grand Prix
VET,0 days 00:01:11.260142857,2.0,1,0 days 00:01:04.711000,14.0,0,2021,Styrian Grand Prix
