Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALO,0 days 00:01:36.396631578,2.0,1,0 days 00:01:23.477000,5.0,0,2021,Turkish Grand Prix
BOT,0 days 00:01:34.208672413,2.0,1,0 days 00:01:22.998000,1.0,1,2021,Turkish Grand Prix
GAS,0 days 00:01:34.972327586,2.0,1,0 days 00:01:23.326000,4.0,0,2021,Turkish Grand Prix
GIO,0 days 00:01:36.063017543,2.0,1,0 days 00:01:26.430000,16.0,0,2021,Turkish Grand Prix
HAM,0 days 00:01:34.929568965,2.0,1,0 days 00:01:22.868000,11.0,0,2021,Turkish Grand Prix
LAT,0 days 00:01:36.493315789,2.0,1,0 days 00:01:26.086000,15.0,0,2021,Turkish Grand Prix
LEC,0 days 00:01:34.860637931,2.0,1,0 days 00:01:23.265000,3.0,0,2021,Turkish Grand Prix
MAZ,0 days 00:01:38.348767857,2.0,1,0 days 00:01:28.449000,18.0,0,2021,Turkish Grand Prix
MSC,0 days 00:01:37.917660714,2.0,1,0 days 00:01:25.200000,14.0,0,2021,Turkish Grand Prix
NOR,0 days 00:01:35.022689655,2.0,1,0 days 00:01:23.954000,7.0,0,2021,Turkish Grand Prix
OCO,0 days 00:01:36.049771929,1.0,0,0 days 00:01:24.842000,12.0,0,2021,Turkish Grand Prix
PER,0 days 00:01:34.785758620,2.0,1,0 days 00:01:23.706000,6.0,0,2021,Turkish Grand Prix
RAI,0 days 00:01:36.151315789,2.0,1,0 days 00:01:27.525000,17.0,0,2021,Turkish Grand Prix
RIC,0 days 00:01:36.196035087,2.0,1,0 days 00:01:25.881000,20.0,0,2021,Turkish Grand Prix
RUS,0 days 00:01:36.354719298,2.0,1,0 days 00:01:25.007000,13.0,0,2021,Turkish Grand Prix
SAI,0 days 00:01:35.097051724,2.0,1,0 days 00:01:25.177000,19.0,0,2021,Turkish Grand Prix
STR,0 days 00:01:35.622775862,2.0,1,0 days 00:01:24.305000,8.0,0,2021,Turkish Grand Prix
TSU,0 days 00:01:36.289982456,2.0,1,0 days 00:01:24.054000,9.0,0,2021,Turkish Grand Prix
VER,0 days 00:01:34.460120689,2.0,1,0 days 00:01:23.196000,2.0,0,2021,Turkish Grand Prix
VET,0 days 00:01:35.712785714,3.0,2,0 days 00:01:24.795000,10.0,0,2021,Turkish Grand Prix
