Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:12.698414285,3.0,2,0 days 00:01:06.230000,15.0,0,2022,Austrian Grand Prix
ALO,0 days 00:01:12.610528571,4.0,3,0 days 00:01:06.016000,19.0,0,2022,Austrian Grand Prix
BOT,0 days 00:01:12.632671428,3.0,2,0 days 00:01:06.319000,0.0,0,2022,Austrian Grand Prix
GAS,0 days 00:01:12.824542857,3.0,2,0 days 00:01:06.160000,14.0,0,2022,Austrian Grand Prix
HAM,0 days 00:01:11.908859154,3.0,2,0 days 00:01:05.475000,8.0,0,2022,Austrian Grand Prix
LAT,0 days 00:01:13.472958333,3.0,3,0 days 00:01:07.003000,17.0,0,2022,Austrian Grand Prix
LEC,0 days 00:01:11.328338028,4.0,3,0 days 00:01:05.013000,2.0,1,2022,Austrian Grand Prix
MAG,0 days 00:01:12.513257142,3.0,2,0 days 00:01:05.879000,7.0,0,2022,Austrian Grand Prix
MSC,0 days 00:01:12.423028571,3.0,2,0 days 00:01:06.011000,9.0,0,2022,Austrian Grand Prix
NOR,0 days 00:01:12.464557142,3.0,2,0 days 00:01:06.330000,10.0,0,2022,Austrian Grand Prix
OCO,0 days 00:01:12.292225352,3.0,2,0 days 00:01:05.726000,6.0,0,2022,Austrian Grand Prix
PER,0 days 00:01:15.696500,2.0,2,0 days 00:01:05.404000,5.0,0,2022,Austrian Grand Prix
RIC,0 days 00:01:12.580800,3.0,2,0 days 00:01:06.613000,11.0,0,2022,Austrian Grand Prix
RUS,0 days 00:01:12.158929577,3.0,2,0 days 00:01:05.431000,4.0,0,2022,Austrian Grand Prix
SAI,0 days 00:01:11.160464285,3.0,2,0 days 00:01:05.066000,3.0,0,2022,Austrian Grand Prix
STR,0 days 00:01:12.768414285,3.0,2,0 days 00:01:06.847000,12.0,0,2022,Austrian Grand Prix
TSU,0 days 00:01:12.920742857,3.0,2,0 days 00:01:06.463000,16.0,0,2022,Austrian Grand Prix
VER,0 days 00:01:11.349915492,4.0,3,0 days 00:01:04.984000,1.0,0,2022,Austrian Grand Prix
VET,0 days 00:01:12.873485714,3.0,2,0 days 00:01:06.652000,18.0,0,2022,Austrian Grand Prix
ZHO,0 days 00:01:12.793014285,3.0,2,0 days 00:01:06.901000,13.0,0,2022,Austrian Grand Prix
