Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:23.237857142,3.0,2,0 days 00:01:26.858000,12.0,0,2022,Canadian Grand Prix
ALO,0 days 00:01:22.952885714,3.0,2,0 days 00:01:21.944000,2.0,0,2022,Canadian Grand Prix
BOT,0 days 00:01:22.957200,2.0,1,0 days 00:01:26.788000,11.0,0,2022,Canadian Grand Prix
GAS,0 days 00:01:23.242000,3.0,2,0 days 00:01:34.492000,15.0,0,2022,Canadian Grand Prix
HAM,0 days 00:01:22.696614285,3.0,2,0 days 00:01:22.891000,4.0,0,2022,Canadian Grand Prix
LAT,0 days 00:01:23.453357142,3.0,2,0 days 00:01:35.660000,18.0,0,2022,Canadian Grand Prix
LEC,0 days 00:01:22.813214285,2.0,1,0 days 00:01:33.008000,19.0,0,2022,Canadian Grand Prix
MAG,0 days 00:01:23.570528571,2.0,1,0 days 00:01:22.960000,5.0,0,2022,Canadian Grand Prix
MSC,0 days 00:01:22.867222222,1.0,0,0 days 00:01:23.356000,6.0,0,2022,Canadian Grand Prix
NOR,0 days 00:01:23.270028571,3.0,2,0 days 00:01:34.066000,14.0,0,2022,Canadian Grand Prix
OCO,0 days 00:01:22.937814285,3.0,2,0 days 00:01:23.529000,7.0,0,2022,Canadian Grand Prix
PER,0 days 00:01:21.366000,1.0,0,0 days 00:01:33.127000,13.0,0,2022,Canadian Grand Prix
RIC,0 days 00:01:23.211485714,3.0,2,0 days 00:01:23.749000,9.0,0,2022,Canadian Grand Prix
RUS,0 days 00:01:22.772428571,3.0,2,0 days 00:01:23.557000,8.0,0,2022,Canadian Grand Prix
SAI,0 days 00:01:22.610714285,3.0,2,0 days 00:01:22.096000,3.0,0,2022,Canadian Grand Prix
STR,0 days 00:01:23.142557142,2.0,1,0 days 00:01:35.532000,17.0,0,2022,Canadian Grand Prix
TSU,0 days 00:01:21.896638297,2.0,2,0 days 00:01:36.575000,20.0,0,2022,Canadian Grand Prix
VER,0 days 00:01:22.596528571,3.0,2,0 days 00:01:21.299000,1.0,1,2022,Canadian Grand Prix
VET,0 days 00:01:23.228600,3.0,2,0 days 00:01:34.512000,16.0,0,2022,Canadian Grand Prix
ZHO,0 days 00:01:22.981557142,3.0,2,0 days 00:01:24.030000,10.0,0,2022,Canadian Grand Prix
