Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:21.016152777,5.0,4,0 days 00:01:11.695000,15.0,0,2022,Dutch Grand Prix
ALO,0 days 00:01:20.854541666,4.0,3,0 days 00:01:11.613000,13.0,0,2022,Dutch Grand Prix
BOT,0 days 00:01:20.008981132,3.0,2,0 days 00:01:11.961000,16.0,0,2022,Dutch Grand Prix
GAS,0 days 00:01:20.969194444,5.0,4,0 days 00:01:11.512000,11.0,0,2022,Dutch Grand Prix
HAM,0 days 00:01:20.774847222,4.0,3,0 days 00:01:10.648000,4.0,0,2022,Dutch Grand Prix
LAT,0 days 00:01:21.272871428,5.0,4,0 days 00:01:13.353000,20.0,0,2022,Dutch Grand Prix
LEC,0 days 00:01:20.745861111,5.0,4,0 days 00:01:10.363000,2.0,0,2022,Dutch Grand Prix
MAG,0 days 00:01:21.106138888,5.0,4,0 days 00:01:12.041000,18.0,0,2022,Dutch Grand Prix
MSC,0 days 00:01:21.052333333,5.0,4,0 days 00:01:11.420000,8.0,0,2022,Dutch Grand Prix
NOR,0 days 00:01:20.862208333,4.0,3,0 days 00:01:11.116000,7.0,0,2022,Dutch Grand Prix
OCO,0 days 00:01:20.887361111,4.0,3,0 days 00:01:11.605000,12.0,0,2022,Dutch Grand Prix
PER,0 days 00:01:20.846402777,5.0,4,0 days 00:01:11.077000,5.0,0,2022,Dutch Grand Prix
RIC,0 days 00:01:21.118569444,6.0,5,0 days 00:01:12.081000,17.0,0,2022,Dutch Grand Prix
RUS,0 days 00:01:20.650611111,4.0,3,0 days 00:01:10.824000,6.0,0,2022,Dutch Grand Prix
SAI,0 days 00:01:20.815125,4.0,3,0 days 00:01:10.434000,3.0,0,2022,Dutch Grand Prix
STR,0 days 00:01:20.906000,5.0,4,0 days 00:01:11.416000,10.0,0,2022,Dutch Grand Prix
TSU,0 days 00:01:18.557809523,3.0,3,0 days 00:01:11.427000,9.0,0,2022,Dutch Grand Prix
VER,0 days 00:01:19.551605633,5.0,4,0 days 00:01:10.342000,1.0,1,2022,Dutch Grand Prix
VET,0 days 00:01:21.024722222,5.0,4,0 days 00:01:12.391000,19.0,0,2022,Dutch Grand Prix
ZHO,0 days 00:01:21.112402777,5.0,4,0 days 00:01:11.704000,14.0,0,2022,Dutch Grand Prix
