Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:43.220320754,2.0,1,0 days 00:01:33.307000,13.0,0,2022,French Grand Prix
ALO,0 days 00:01:41.755096153,2.0,1,0 days 00:01:32.552000,7.0,0,2022,French Grand Prix
BOT,0 days 00:01:43.373169811,3.0,2,0 days 00:01:33.034000,11.0,0,2022,French Grand Prix
GAS,0 days 00:01:43.161509433,2.0,1,0 days 00:01:33.439000,14.0,0,2022,French Grand Prix
HAM,0 days 00:01:40.920769230,2.0,1,0 days 00:01:31.765000,4.0,0,2022,French Grand Prix
LAT,0 days 00:01:43.610051282,3.0,3,0 days 00:01:33.794000,18.0,0,2022,French Grand Prix
LEC,0 days 00:01:39.114235294,1.0,0,0 days 00:01:30.872000,1.0,0,2022,French Grand Prix
MAG,0 days 00:01:43.978864864,3.0,3,0 days 00:01:32.649000,20.0,0,2022,French Grand Prix
MSC,0 days 00:01:43.443509433,3.0,2,0 days 00:01:33.114000,17.0,0,2022,French Grand Prix
NOR,0 days 00:01:42.908264150,2.0,1,0 days 00:01:32.032000,5.0,0,2022,French Grand Prix
OCO,0 days 00:01:43.001339622,2.0,1,0 days 00:01:33.048000,10.0,0,2022,French Grand Prix
PER,0 days 00:01:41.126500,2.0,1,0 days 00:01:31.335000,3.0,0,2022,French Grand Prix
RIC,0 days 00:01:43.065735849,2.0,1,0 days 00:01:32.922000,9.0,0,2022,French Grand Prix
RUS,0 days 00:01:41.079173076,2.0,1,0 days 00:01:32.131000,6.0,0,2022,French Grand Prix
SAI,0 days 00:01:42.471396226,3.0,2,0 days 00:01:31.081000,19.0,0,2022,French Grand Prix
STR,0 days 00:01:43.106811320,2.0,1,0 days 00:01:33.439000,15.0,0,2022,French Grand Prix
TSU,0 days 00:01:44.395705882,2.0,2,0 days 00:01:32.780000,8.0,0,2022,French Grand Prix
VER,0 days 00:01:39.867352941,2.0,1,0 days 00:01:31.176000,2.0,1,2022,French Grand Prix
VET,0 days 00:01:42.033115384,2.0,1,0 days 00:01:33.276000,12.0,0,2022,French Grand Prix
ZHO,0 days 00:01:44.490744680,3.0,2,0 days 00:01:33.674000,16.0,0,2022,French Grand Prix
