Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:38.999767857,2.0,1,0 days 00:01:31.266000,18.0,0,2022,Miami Grand Prix
ALO,0 days 00:01:38.934732142,2.0,1,0 days 00:01:30.160000,11.0,0,2022,Miami Grand Prix
BOT,0 days 00:01:37.828581818,2.0,1,0 days 00:01:29.475000,5.0,0,2022,Miami Grand Prix
GAS,0 days 00:01:37.572666666,3.0,3,0 days 00:01:29.690000,7.0,0,2022,Miami Grand Prix
HAM,0 days 00:01:37.716218181,2.0,1,0 days 00:01:29.625000,6.0,0,2022,Miami Grand Prix
LAT,0 days 00:01:38.210872727,2.0,1,0 days 00:01:31.325000,19.0,0,2022,Miami Grand Prix
LEC,0 days 00:01:36.148092592,2.0,1,0 days 00:01:28.796000,1.0,0,2022,Miami Grand Prix
MAG,0 days 00:01:39.197436363,3.0,3,0 days 00:01:30.975000,16.0,0,2022,Miami Grand Prix
MSC,0 days 00:01:39.741464285,3.0,2,0 days 00:01:30.423000,15.0,0,2022,Miami Grand Prix
NOR,0 days 00:01:36.139538461,2.0,1,0 days 00:01:29.634000,8.0,0,2022,Miami Grand Prix
PER,0 days 00:01:37.519290909,3.0,2,0 days 00:01:29.036000,4.0,0,2022,Miami Grand Prix
RIC,0 days 00:01:39.067750,3.0,2,0 days 00:01:30.310000,14.0,0,2022,Miami Grand Prix
RUS,0 days 00:01:37.769872727,2.0,1,0 days 00:01:30.173000,12.0,0,2022,Miami Grand Prix
SAI,0 days 00:01:37.434563636,2.0,1,0 days 00:01:28.986000,2.0,0,2022,Miami Grand Prix
STR,0 days 00:01:39.080000,2.0,1,0 days 00:01:29.996000,0.0,0,2022,Miami Grand Prix
TSU,0 days 00:01:36.492240740,3.0,2,0 days 00:01:29.932000,9.0,0,2022,Miami Grand Prix
VER,0 days 00:01:34.916773584,2.0,1,0 days 00:01:28.991000,3.0,1,2022,Miami Grand Prix
VET,0 days 00:01:39.787150943,2.0,2,0 days 00:01:30.214000,0.0,0,2022,Miami Grand Prix
ZHO,0 days 00:01:42.172166666,1.0,1,0 days 00:01:31.020000,17.0,0,2022,Miami Grand Prix
