Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:35.880404255,4.0,4,0 days 00:01:13.611000,16.0,0,2022,Monaco Grand Prix
ALO,0 days 00:01:31.134142857,3.0,2,0 days 00:01:12.247000,7.0,0,2022,Monaco Grand Prix
BOT,0 days 00:01:31.489730158,3.0,2,0 days 00:01:12.909000,12.0,0,2022,Monaco Grand Prix
GAS,0 days 00:01:30.651951612,4.0,3,0 days 00:01:13.660000,17.0,0,2022,Monaco Grand Prix
HAM,0 days 00:01:31.155746031,4.0,3,0 days 00:01:12.560000,8.0,0,2022,Monaco Grand Prix
LAT,0 days 00:01:32.030322580,4.0,4,0 days 00:01:14.403000,19.0,0,2022,Monaco Grand Prix
LEC,0 days 00:01:29.541419354,4.0,3,0 days 00:01:11.376000,1.0,0,2022,Monaco Grand Prix
MAG,0 days 00:01:45.018526315,1.0,1,0 days 00:01:12.921000,13.0,0,2022,Monaco Grand Prix
MSC,0 days 00:01:43.646083333,3.0,2,0 days 00:01:13.081000,15.0,0,2022,Monaco Grand Prix
NOR,0 days 00:01:30.589507936,5.0,4,0 days 00:01:11.849000,5.0,0,2022,Monaco Grand Prix
OCO,0 days 00:01:31.180444444,3.0,2,0 days 00:01:12.528000,10.0,0,2022,Monaco Grand Prix
PER,0 days 00:01:29.494774193,4.0,3,0 days 00:01:11.629000,3.0,1,2022,Monaco Grand Prix
RIC,0 days 00:01:31.762714285,3.0,2,0 days 00:01:12.964000,14.0,0,2022,Monaco Grand Prix
RUS,0 days 00:01:30.658206349,3.0,2,0 days 00:01:12.112000,6.0,0,2022,Monaco Grand Prix
SAI,0 days 00:01:29.517532258,3.0,2,0 days 00:01:11.601000,2.0,0,2022,Monaco Grand Prix
STR,0 days 00:01:31.491333333,5.0,4,0 days 00:01:13.678000,18.0,0,2022,Monaco Grand Prix
TSU,0 days 00:01:32.490629032,5.0,4,0 days 00:01:12.797000,11.0,0,2022,Monaco Grand Prix
VER,0 days 00:01:29.520370967,4.0,3,0 days 00:01:11.666000,4.0,0,2022,Monaco Grand Prix
VET,0 days 00:01:31.683047619,4.0,3,0 days 00:01:12.613000,9.0,0,2022,Monaco Grand Prix
ZHO,0 days 00:01:32.128580645,3.0,2,0 days 00:01:15.606000,20.0,0,2022,Monaco Grand Prix
