Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:42.143717391,2.0,1.0,0 days 00:01:30.492000,16.0,0,2022,Saudi Arabian Grand Prix
ALO,0 days 00:01:38.455062500,2.0,1.0,0 days 00:01:29.147000,7.0,0,2022,Saudi Arabian Grand Prix
BOT,0 days 00:01:38.269281250,3.0,3.0,0 days 00:01:29.183000,8.0,0,2022,Saudi Arabian Grand Prix
GAS,0 days 00:01:40.232854166,2.0,1.0,0 days 00:01:29.254000,9.0,0,2022,Saudi Arabian Grand Prix
HAM,0 days 00:01:40.373895833,2.0,1.0,0 days 00:01:30.343000,15.0,0,2022,Saudi Arabian Grand Prix
HUL,0 days 00:01:39.768276595,2.0,1.0,0 days 00:01:30.543000,17.0,0,2022,Saudi Arabian Grand Prix
LAT,0 days 00:01:38.876142857,1.0,0.0,0 days 00:01:31.817000,18.0,0,2022,Saudi Arabian Grand Prix
LEC,0 days 00:01:36.818340425,2.0,1.0,0 days 00:01:28.225000,2.0,0,2022,Saudi Arabian Grand Prix
MAG,0 days 00:01:40.147687500,2.0,1.0,0 days 00:01:29.546000,10.0,0,2022,Saudi Arabian Grand Prix
NOR,0 days 00:01:40.100187500,2.0,1.0,0 days 00:01:29.651000,11.0,0,2022,Saudi Arabian Grand Prix
OCO,0 days 00:01:39.029404255,2.0,1.0,0 days 00:01:29.068000,5.0,0,2022,Saudi Arabian Grand Prix
PER,0 days 00:01:37.555340425,2.0,1.0,0 days 00:01:28.200000,1.0,0,2022,Saudi Arabian Grand Prix
RIC,0 days 00:01:40.432242424,2.0,2.0,0 days 00:01:29.773000,14.0,0,2022,Saudi Arabian Grand Prix
RUS,0 days 00:01:38.022234042,2.0,1.0,0 days 00:01:29.104000,6.0,0,2022,Saudi Arabian Grand Prix
SAI,0 days 00:01:37.149255319,2.0,1.0,0 days 00:01:13.670000,3.0,0,2022,Saudi Arabian Grand Prix
STR,0 days 00:01:41.483851063,2.0,1.0,0 days 00:01:30.256000,13.0,0,2022,Saudi Arabian Grand Prix
VER,0 days 00:01:36.884702127,2.0,1.0,0 days 00:01:28.461000,4.0,1,2022,Saudi Arabian Grand Prix
ZHO,0 days 00:01:39.546170212,3.0,2.0,0 days 00:01:29.819000,12.0,0,2022,Saudi Arabian Grand Prix
