Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:02:09.044782608,1.0,1,0 days 00:01:56.985000,18.0,0,2022,Singapore Grand Prix
ALO,0 days 00:02:03.477555555,1.0,0,0 days 00:01:49.966000,5.0,0,2022,Singapore Grand Prix
BOT,0 days 00:02:03.223759259,2.0,1,0 days 00:01:56.083000,15.0,0,2022,Singapore Grand Prix
GAS,0 days 00:02:01.216230769,2.0,1,0 days 00:01:51.211000,7.0,0,2022,Singapore Grand Prix
HAM,0 days 00:01:59.844882352,2.0,1,0 days 00:01:49.466000,3.0,0,2022,Singapore Grand Prix
LAT,0 days 00:02:09.881833333,1.0,1,0 days 00:01:57.532000,19.0,0,2022,Singapore Grand Prix
LEC,0 days 00:01:58.342807692,2.0,1,0 days 00:01:49.412000,1.0,0,2022,Singapore Grand Prix
MAG,0 days 00:02:02.758685185,3.0,2,0 days 00:01:51.573000,9.0,0,2022,Singapore Grand Prix
MSC,0 days 00:02:02.967680,3.0,2,0 days 00:01:54.370000,12.0,0,2022,Singapore Grand Prix
NOR,0 days 00:01:59.797264150,2.0,1,0 days 00:01:50.584000,6.0,0,2022,Singapore Grand Prix
OCO,0 days 00:02:07.645333333,1.0,0,0 days 00:01:56.337000,17.0,0,2022,Singapore Grand Prix
PER,0 days 00:01:57.185313725,2.0,1,0 days 00:01:49.434000,2.0,1,2022,Singapore Grand Prix
RIC,0 days 00:02:01.350679245,2.0,1,0 days 00:01:56.226000,16.0,0,2022,Singapore Grand Prix
RUS,0 days 00:02:04.810769230,5.0,4,0 days 00:01:54.012000,0.0,0,2022,Singapore Grand Prix
SAI,0 days 00:01:58.132274509,2.0,1,0 days 00:01:49.583000,4.0,0,2022,Singapore Grand Prix
STR,0 days 00:02:01.370490566,2.0,1,0 days 00:01:54.211000,11.0,0,2022,Singapore Grand Prix
TSU,0 days 00:02:06.818733333,2.0,1,0 days 00:01:51.983000,10.0,0,2022,Singapore Grand Prix
VER,0 days 00:02:00.415538461,3.0,2,0 days 00:01:51.395000,8.0,0,2022,Singapore Grand Prix
VET,0 days 00:02:01.100192307,2.0,1,0 days 00:01:54.380000,13.0,0,2022,Singapore Grand Prix
ZHO,0 days 00:02:09.933333333,1.0,0,0 days 00:01:55.375000,14.0,0,2022,Singapore Grand Prix
