Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:31.307034482,3.0,2,0 days 00:01:24.298000,14.0,0,2023,Abu Dhabi Grand Prix
ALO,0 days 00:01:30.726482758,3.0,2,0 days 00:01:24.084000,7.0,0,2023,Abu Dhabi Grand Prix
BOT,0 days 00:01:31.842719298,2.0,1,0 days 00:01:24.788000,18.0,0,2023,Abu Dhabi Grand Prix
GAS,0 days 00:01:31.258344827,3.0,2,0 days 00:01:24.078000,10.0,0,2023,Abu Dhabi Grand Prix
HAM,0 days 00:01:30.811172413,3.0,2,0 days 00:01:24.359000,11.0,0,2023,Abu Dhabi Grand Prix
HUL,0 days 00:01:31.488275862,3.0,2,0 days 00:01:24.108000,8.0,0,2023,Abu Dhabi Grand Prix
LEC,0 days 00:01:30.355465517,3.0,2,0 days 00:01:23.584000,2.0,0,2023,Abu Dhabi Grand Prix
MAG,0 days 00:01:31.885964912,3.0,2,0 days 00:01:24.764000,17.0,0,2023,Abu Dhabi Grand Prix
NOR,0 days 00:01:30.463931034,3.0,2,0 days 00:01:23.816000,5.0,0,2023,Abu Dhabi Grand Prix
OCO,0 days 00:01:31.189603448,2.0,1,0 days 00:01:24.391000,12.0,0,2023,Abu Dhabi Grand Prix
PER,0 days 00:01:30.328913793,3.0,2,0 days 00:01:23.868000,9.0,0,2023,Abu Dhabi Grand Prix
PIA,0 days 00:01:30.588120689,3.0,2,0 days 00:01:23.782000,3.0,0,2023,Abu Dhabi Grand Prix
RIC,0 days 00:01:31.014706896,3.0,2,0 days 00:01:24.442000,15.0,0,2023,Abu Dhabi Grand Prix
RUS,0 days 00:01:30.395724137,3.0,2,0 days 00:01:23.788000,4.0,0,2023,Abu Dhabi Grand Prix
SAI,0 days 00:01:31.419701754,3.0,3,0 days 00:01:24.738000,16.0,0,2023,Abu Dhabi Grand Prix
SAR,0 days 00:01:31.558879310,3.0,2,0 days 00:01:24.532000,20.0,0,2023,Abu Dhabi Grand Prix
STR,0 days 00:01:31.004413793,3.0,2,0 days 00:01:24.405000,13.0,0,2023,Abu Dhabi Grand Prix
TSU,0 days 00:01:30.788137931,2.0,1,0 days 00:01:23.968000,6.0,0,2023,Abu Dhabi Grand Prix
VER,0 days 00:01:30.045241379,3.0,2,0 days 00:01:23.445000,1.0,1,2023,Abu Dhabi Grand Prix
ZHO,0 days 00:01:31.587000,3.0,2,0 days 00:01:25.114000,19.0,0,2023,Abu Dhabi Grand Prix
