Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:50.805078431,2.0,1,0 days 00:01:41.818000,12.0,0,2023,Azerbaijan Grand Prix
ALO,0 days 00:01:47.282448979,2.0,1,0 days 00:01:41.253000,6.0,0,2023,Azerbaijan Grand Prix
BOT,0 days 00:01:50.794306122,4.0,3,0 days 00:01:42.259000,13.0,0,2023,Azerbaijan Grand Prix
DEV,0 days 00:01:50.627000,1.0,0,0 days 00:01:55.282000,18.0,0,2023,Azerbaijan Grand Prix
GAS,0 days 00:01:50.858196078,3.0,2,0 days 00:01:44.853000,17.0,0,2023,Azerbaijan Grand Prix
HAM,0 days 00:01:49.083680,2.0,1,0 days 00:01:41.177000,5.0,0,2023,Azerbaijan Grand Prix
HUL,0 days 00:01:49.712645833,2.0,1,0 days 00:01:42.755000,20.0,0,2023,Azerbaijan Grand Prix
LEC,0 days 00:01:47.078571428,2.0,1,0 days 00:01:40.203000,1.0,0,2023,Azerbaijan Grand Prix
MAG,0 days 00:01:49.524220,2.0,1,0 days 00:01:43.417000,16.0,0,2023,Azerbaijan Grand Prix
NOR,0 days 00:01:49.789300,2.0,1,0 days 00:01:41.281000,7.0,0,2023,Azerbaijan Grand Prix
OCO,0 days 00:01:49.258040816,2.0,1,0 days 00:01:41.798000,19.0,0,2023,Azerbaijan Grand Prix
PER,0 days 00:01:46.544897959,2.0,1,0 days 00:01:40.495000,3.0,1,2023,Azerbaijan Grand Prix
PIA,0 days 00:01:49.967680,2.0,1,0 days 00:01:41.611000,10.0,0,2023,Azerbaijan Grand Prix
RUS,0 days 00:01:47.597041666,3.0,2,0 days 00:01:41.654000,11.0,0,2023,Azerbaijan Grand Prix
SAI,0 days 00:01:46.845750,2.0,1,0 days 00:01:41.016000,4.0,0,2023,Azerbaijan Grand Prix
SAR,0 days 00:01:50.178680,2.0,1,0 days 00:01:42.242000,14.0,0,2023,Azerbaijan Grand Prix
STR,0 days 00:01:47.055187500,2.0,1,0 days 00:01:41.576000,9.0,0,2023,Azerbaijan Grand Prix
TSU,0 days 00:01:49.888020,2.0,1,0 days 00:01:41.569000,8.0,0,2023,Azerbaijan Grand Prix
VER,0 days 00:01:45.890395833,2.0,1,0 days 00:01:40.391000,2.0,0,2023,Azerbaijan Grand Prix
ZHO,0 days 00:01:50.378235294,2.0,2,0 days 00:01:42.642000,15.0,0,2023,Azerbaijan Grand Prix
