Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:25.640768115,3.0,2,0 days 00:01:18.302000,14.0,0,2023,Mexico City Grand Prix
ALO,0 days 00:01:28.685934782,3.0,3,0 days 00:01:18.738000,13.0,0,2023,Mexico City Grand Prix
BOT,0 days 00:01:27.028157142,3.0,2,0 days 00:01:18.016000,9.0,0,2023,Mexico City Grand Prix
GAS,0 days 00:01:26.819014285,3.0,2,0 days 00:01:18.521000,11.0,0,2023,Mexico City Grand Prix
HAM,0 days 00:01:24.115485294,3.0,2,0 days 00:01:17.454000,6.0,0,2023,Mexico City Grand Prix
HUL,0 days 00:01:27.045900,3.0,2,0 days 00:01:18.524000,12.0,0,2023,Mexico City Grand Prix
LEC,0 days 00:01:24.191602941,3.0,2,0 days 00:01:17.166000,1.0,0,2023,Mexico City Grand Prix
MAG,0 days 00:01:26.645580645,2.0,1,0 days 00:01:19.163000,16.0,0,2023,Mexico City Grand Prix
NOR,0 days 00:01:26.347528571,4.0,3,0 days 00:01:21.554000,17.0,0,2023,Mexico City Grand Prix
OCO,0 days 00:01:26.762800,2.0,1,0 days 00:01:19.080000,15.0,0,2023,Mexico City Grand Prix
PER,0 days 00:01:43.446000,1.0,1,0 days 00:01:17.423000,5.0,0,2023,Mexico City Grand Prix
PIA,0 days 00:01:26.515514285,3.0,2,0 days 00:01:17.623000,7.0,0,2023,Mexico City Grand Prix
RIC,0 days 00:01:25.567492753,3.0,2,0 days 00:01:17.382000,4.0,0,2023,Mexico City Grand Prix
RUS,0 days 00:01:26.489371428,3.0,2,0 days 00:01:17.673000,8.0,0,2023,Mexico City Grand Prix
SAI,0 days 00:01:24.400544117,3.0,2,0 days 00:01:17.233000,2.0,0,2023,Mexico City Grand Prix
SAR,0 days 00:01:26.995884057,3.0,3,0 days 00:01:19.965000,19.0,0,2023,Mexico City Grand Prix
STR,0 days 00:01:27.452123076,3.0,3,0 days 00:01:19.227000,0.0,0,2023,Mexico City Grand Prix
TSU,0 days 00:01:27.057014285,3.0,2,0 days 00:01:18.890000,18.0,0,2023,Mexico City Grand Prix
VER,0 days 00:01:23.602588235,4.0,3,0 days 00:01:17.263000,3.0,1,2023,Mexico City Grand Prix
ZHO,0 days 00:01:27.062871428,3.0,2,0 days 00:01:18.050000,10.0,0,2023,Mexico City Grand Prix
