Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:33.687403508,4.0,3.0,0 days 00:01:25.707000,13.0,0,2023,Qatar Grand Prix
ALO,0 days 00:01:32.064410714,4.0,3.0,0 days 00:01:24.369000,4.0,0,2023,Qatar Grand Prix
BOT,0 days 00:01:33.433877192,4.0,3.0,0 days 00:01:25.058000,9.0,0,2023,Qatar Grand Prix
GAS,0 days 00:01:33.534526315,4.0,3.0,0 days 00:01:24.553000,7.0,0,2023,Qatar Grand Prix
HUL,0 days 00:01:34.183089285,4.0,3.0,0 days 00:01:25.547000,14.0,0,2023,Qatar Grand Prix
LAW,0 days 00:01:34.397785714,4.0,3.0,0 days 00:01:26.635000,17.0,0,2023,Qatar Grand Prix
LEC,0 days 00:01:31.910160714,4.0,3.0,0 days 00:01:24.424000,5.0,0,2023,Qatar Grand Prix
MAG,0 days 00:01:33.935964285,4.0,3.0,0 days 00:01:27.046000,18.0,0,2023,Qatar Grand Prix
NOR,0 days 00:01:32.370824561,4.0,3.0,0 days 00:01:24.074000,10.0,0,2023,Qatar Grand Prix
OCO,0 days 00:01:32.340160714,4.0,3.0,0 days 00:01:24.763000,8.0,0,2023,Qatar Grand Prix
PER,0 days 00:01:33.585070175,4.0,3.0,0 days 00:01:25.275000,20.0,0,2023,Qatar Grand Prix
PIA,0 days 00:01:31.260625,4.0,3.0,0 days 00:01:24.228000,6.0,0,2023,Qatar Grand Prix
RUS,0 days 00:01:32.864684210,5.0,4.0,0 days 00:01:24.219000,2.0,0,2023,Qatar Grand Prix
SAR,0 days 00:01:36.705150,3.0,3.0,0 days 00:01:26.210000,15.0,0,2023,Qatar Grand Prix
STR,0 days 00:01:33.523157894,4.0,3.0,0 days 00:01:26.345000,16.0,0,2023,Qatar Grand Prix
TSU,0 days 00:01:34.073678571,4.0,3.0,0 days 00:01:25.301000,11.0,0,2023,Qatar Grand Prix
VER,0 days 00:01:31.178732142,4.0,3.0,0 days 00:01:23.778000,1.0,1,2023,Qatar Grand Prix
ZHO,0 days 00:01:33.601666666,4.0,3.0,0 days 00:01:27.432000,19.0,0,2023,Qatar Grand Prix
