Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALO,0 days 00:01:18.743185714,5.0,4,0 days 00:01:10.237000,4.0,0,2023,São Paulo Grand Prix
BOT,0 days 00:01:21.439552631,4.0,4,0 days 00:01:10.955000,18.0,0,2023,São Paulo Grand Prix
GAS,0 days 00:01:18.671285714,5.0,4,0 days 00:01:10.567000,15.0,0,2023,São Paulo Grand Prix
HAM,0 days 00:01:19.155514285,5.0,4,0 days 00:01:10.266000,5.0,0,2023,São Paulo Grand Prix
HUL,0 days 00:01:19.576840579,5.0,4,0 days 00:01:10.475000,11.0,0,2023,São Paulo Grand Prix
NOR,0 days 00:01:18.438971428,5.0,4,0 days 00:01:10.021000,6.0,0,2023,São Paulo Grand Prix
OCO,0 days 00:01:19.070782608,6.0,5,0 days 00:01:10.562000,14.0,0,2023,São Paulo Grand Prix
PER,0 days 00:01:18.740800,5.0,4,0 days 00:01:10.219000,9.0,0,2023,São Paulo Grand Prix
PIA,0 days 00:01:18.348661764,5.0,4,0 days 00:01:10.330000,10.0,0,2023,São Paulo Grand Prix
RIC,0 days 00:01:18.257144927,5.0,4,0 days 00:01:10.843000,17.0,0,2023,São Paulo Grand Prix
RUS,0 days 00:01:20.730696428,5.0,5,0 days 00:01:10.316000,8.0,0,2023,São Paulo Grand Prix
SAI,0 days 00:01:18.938271428,5.0,4,0 days 00:01:10.254000,7.0,0,2023,São Paulo Grand Prix
SAR,0 days 00:01:19.466057971,5.0,4,0 days 00:01:11.035000,19.0,0,2023,São Paulo Grand Prix
STR,0 days 00:01:18.846500,5.0,4,0 days 00:01:10.375000,3.0,0,2023,São Paulo Grand Prix
TSU,0 days 00:01:18.840428571,5.0,4,0 days 00:01:10.837000,16.0,0,2023,São Paulo Grand Prix
VER,0 days 00:01:18.338914285,5.0,4,0 days 00:01:10.162000,1.0,1,2023,São Paulo Grand Prix
ZHO,0 days 00:01:25.580714285,4.0,4,0 days 00:01:11.275000,20.0,0,2023,São Paulo Grand Prix
