Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:24.769333333,3.0,2,0 days 00:01:17.130000,12.0,0,2024,Australian Grand Prix
ALO,0 days 00:01:24.617844827,3.0,2,0 days 00:01:16.710000,10.0,0,2024,Australian Grand Prix
BOT,0 days 00:01:25.424017543,3.0,2,0 days 00:01:17.340000,13.0,0,2024,Australian Grand Prix
GAS,0 days 00:01:25.312210526,3.0,2,0 days 00:01:17.982000,17.0,0,2024,Australian Grand Prix
HAM,0 days 00:01:25.228400,2.0,1,0 days 00:01:16.960000,11.0,0,2024,Australian Grand Prix
HUL,0 days 00:01:25.024068965,3.0,2,0 days 00:01:17.976000,16.0,0,2024,Australian Grand Prix
LEC,0 days 00:01:23.262224137,3.0,2,0 days 00:01:16.304000,4.0,0,2024,Australian Grand Prix
MAG,0 days 00:01:24.753052631,3.0,2,0 days 00:01:17.427000,14.0,0,2024,Australian Grand Prix
NOR,0 days 00:01:23.323224137,3.0,2,0 days 00:01:16.315000,3.0,0,2024,Australian Grand Prix
OCO,0 days 00:01:25.628456140,4.0,3,0 days 00:01:17.617000,15.0,0,2024,Australian Grand Prix
PER,0 days 00:01:24.192275862,3.0,2,0 days 00:01:16.274000,6.0,0,2024,Australian Grand Prix
PIA,0 days 00:01:23.838155172,3.0,2,0 days 00:01:16.572000,5.0,0,2024,Australian Grand Prix
RIC,0 days 00:01:24.883350877,3.0,2,0 days 00:01:17.466000,18.0,0,2024,Australian Grand Prix
RUS,0 days 00:01:23.655964285,3.0,2,0 days 00:01:16.724000,7.0,0,2024,Australian Grand Prix
SAI,0 days 00:01:23.221431034,3.0,2,0 days 00:01:16.185000,2.0,1,2024,Australian Grand Prix
STR,0 days 00:01:24.828706896,3.0,2,0 days 00:01:16.780000,9.0,0,2024,Australian Grand Prix
TSU,0 days 00:01:24.869724137,3.0,2,0 days 00:01:16.788000,8.0,0,2024,Australian Grand Prix
VER,0 days 00:01:24.890666666,1.0,1,0 days 00:01:15.915000,1.0,0,2024,Australian Grand Prix
ZHO,0 days 00:01:25.458526315,3.0,2,0 days 00:01:18.188000,19.0,0,2024,Australian Grand Prix
