Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:36.450884615,3.0,2,0 days 00:01:26.640000,9.0,0,2024,British Grand Prix
ALO,0 days 00:01:36.358384615,3.0,2,0 days 00:01:26.730000,10.0,0,2024,British Grand Prix
BOT,0 days 00:01:37.821176470,3.0,2,0 days 00:01:32.431000,16.0,0,2024,British Grand Prix
HAM,0 days 00:01:35.135750,3.0,2,0 days 00:01:25.990000,2.0,1,2024,British Grand Prix
HUL,0 days 00:01:36.207326923,3.0,2,0 days 00:01:26.338000,6.0,0,2024,British Grand Prix
LEC,0 days 00:01:37.794745098,4.0,3,0 days 00:01:27.097000,11.0,0,2024,British Grand Prix
MAG,0 days 00:01:36.869461538,3.0,2,0 days 00:01:32.905000,17.0,0,2024,British Grand Prix
NOR,0 days 00:01:35.280884615,3.0,2,0 days 00:01:26.030000,3.0,0,2024,British Grand Prix
OCO,0 days 00:01:39.154820,5.0,4,0 days 00:01:34.557000,18.0,0,2024,British Grand Prix
PER,0 days 00:01:39.301280,5.0,4,0 days 00:01:38.348000,20.0,0,2024,British Grand Prix
PIA,0 days 00:01:35.374769230,3.0,2,0 days 00:01:26.237000,5.0,0,2024,British Grand Prix
RIC,0 days 00:01:37.196000,3.0,2,0 days 00:01:27.949000,15.0,0,2024,British Grand Prix
RUS,0 days 00:01:36.111424242,2.0,2,0 days 00:01:25.819000,1.0,0,2024,British Grand Prix
SAI,0 days 00:01:36.045711538,4.0,3,0 days 00:01:26.509000,7.0,0,2024,British Grand Prix
SAR,0 days 00:01:36.846519230,3.0,2,0 days 00:01:27.175000,12.0,0,2024,British Grand Prix
STR,0 days 00:01:36.223615384,3.0,2,0 days 00:01:26.585000,8.0,0,2024,British Grand Prix
TSU,0 days 00:01:36.660807692,3.0,2,0 days 00:01:27.269000,13.0,0,2024,British Grand Prix
VER,0 days 00:01:35.163923076,3.0,2,0 days 00:01:26.203000,4.0,0,2024,British Grand Prix
ZHO,0 days 00:01:40.030700,5.0,4,0 days 00:01:27.867000,14.0,0,2024,British Grand Prix
