Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:49.251071428,3.0,2,0 days 00:01:35.241000,14.0,0,2024,Chinese Grand Prix
ALO,0 days 00:01:47.299648148,4.0,3,0 days 00:01:34.148000,3.0,0,2024,Chinese Grand Prix
BOT,0 days 00:01:44.132631578,2.0,1,0 days 00:01:34.665000,10.0,0,2024,Chinese Grand Prix
GAS,0 days 00:01:49.317446428,4.0,3,0 days 00:01:35.287000,15.0,0,2024,Chinese Grand Prix
HAM,0 days 00:01:49.116785714,3.0,2,0 days 00:01:35.573000,18.0,0,2024,Chinese Grand Prix
HUL,0 days 00:01:48.411909090,3.0,2,0 days 00:01:34.604000,9.0,0,2024,Chinese Grand Prix
LEC,0 days 00:01:46.020943396,2.0,1,0 days 00:01:34.289000,6.0,0,2024,Chinese Grand Prix
MAG,0 days 00:01:48.536345454,3.0,2,0 days 00:01:35.516000,17.0,0,2024,Chinese Grand Prix
NOR,0 days 00:01:47.444545454,2.0,1,0 days 00:01:34.165000,4.0,0,2024,Chinese Grand Prix
OCO,0 days 00:01:49.202964285,3.0,2,0 days 00:01:35.223000,13.0,0,2024,Chinese Grand Prix
PER,0 days 00:01:45.899509433,3.0,2,0 days 00:01:33.982000,2.0,0,2024,Chinese Grand Prix
PIA,0 days 00:01:48.321363636,3.0,2,0 days 00:01:34.273000,5.0,0,2024,Chinese Grand Prix
RIC,0 days 00:01:53.897187500,2.0,2,0 days 00:01:34.934000,12.0,0,2024,Chinese Grand Prix
RUS,0 days 00:01:47.987909090,3.0,2,0 days 00:01:34.433000,8.0,0,2024,Chinese Grand Prix
SAI,0 days 00:01:47.085851851,2.0,1,0 days 00:01:34.297000,7.0,0,2024,Chinese Grand Prix
SAR,0 days 00:01:49.601142857,3.0,2,0 days 00:01:36.358000,20.0,0,2024,Chinese Grand Prix
STR,0 days 00:01:45.803320754,5.0,4,0 days 00:01:34.838000,11.0,0,2024,Chinese Grand Prix
TSU,0 days 00:01:51.046730769,3.0,2,0 days 00:01:35.746000,19.0,0,2024,Chinese Grand Prix
VER,0 days 00:01:45.235452830,3.0,2,0 days 00:01:33.660000,1.0,1,2024,Chinese Grand Prix
ZHO,0 days 00:01:48.577672727,4.0,3,0 days 00:01:35.505000,16.0,0,2024,Chinese Grand Prix
