Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALO,0 days 00:01:38.639313725,4.0,3,0 days 00:01:28.686000,5.0,0,2024,Japanese Grand Prix
BOT,0 days 00:01:41.448647058,4.0,3,0 days 00:01:29.593000,13.0,0,2024,Japanese Grand Prix
GAS,0 days 00:01:42.096196078,4.0,3,0 days 00:01:30.119000,17.0,0,2024,Japanese Grand Prix
HAM,0 days 00:01:38.922862745,4.0,3,0 days 00:01:28.766000,7.0,0,2024,Japanese Grand Prix
HUL,0 days 00:01:40.182440,4.0,3,0 days 00:01:29.494000,12.0,0,2024,Japanese Grand Prix
LEC,0 days 00:01:38.537588235,3.0,2,0 days 00:01:28.786000,8.0,0,2024,Japanese Grand Prix
MAG,0 days 00:01:41.488705882,3.0,2,0 days 00:01:30.131000,18.0,0,2024,Japanese Grand Prix
NOR,0 days 00:01:38.261392156,4.0,3,0 days 00:01:28.489000,3.0,0,2024,Japanese Grand Prix
OCO,0 days 00:01:41.825666666,4.0,3,0 days 00:01:29.811000,15.0,0,2024,Japanese Grand Prix
PER,0 days 00:01:37.903705882,4.0,3,0 days 00:01:28.263000,2.0,0,2024,Japanese Grand Prix
PIA,0 days 00:01:38.760941176,4.0,3,0 days 00:01:28.760000,6.0,0,2024,Japanese Grand Prix
RUS,0 days 00:01:38.978901960,4.0,3,0 days 00:01:29.008000,9.0,0,2024,Japanese Grand Prix
SAI,0 days 00:01:38.135137254,4.0,3,0 days 00:01:28.682000,4.0,0,2024,Japanese Grand Prix
SAR,0 days 00:01:42.584352941,5.0,4,0 days 00:01:30.139000,19.0,0,2024,Japanese Grand Prix
STR,0 days 00:01:41.298843137,5.0,4,0 days 00:01:30.024000,16.0,0,2024,Japanese Grand Prix
TSU,0 days 00:01:40.239700,4.0,3,0 days 00:01:29.413000,10.0,0,2024,Japanese Grand Prix
VER,0 days 00:01:37.637509803,4.0,3,0 days 00:01:28.197000,1.0,1,2024,Japanese Grand Prix
ZHO,0 days 00:01:55.406272727,4.0,4,0 days 00:01:30.143000,20.0,0,2024,Japanese Grand Prix
