Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:41.280840,2.0,2,0 days 00:01:34.425000,17.0,0,2024,Las Vegas Grand Prix
ALO,0 days 00:01:39.903280,3.0,2,0 days 00:01:34.258000,16.0,0,2024,Las Vegas Grand Prix
BOT,0 days 00:01:40.760285714,3.0,2,0 days 00:01:34.430000,19.0,0,2024,Las Vegas Grand Prix
COL,0 days 00:01:40.022820,3.0,2,0 days 00:01:33.746000,20.0,0,2024,Las Vegas Grand Prix
GAS,0 days 00:01:42.464866666,2.0,2,0 days 00:01:32.664000,3.0,0,2024,Las Vegas Grand Prix
HAM,0 days 00:01:38.665640,3.0,2,0 days 00:01:32.567000,10.0,0,2024,Las Vegas Grand Prix
HUL,0 days 00:01:39.715540,3.0,2,0 days 00:01:33.062000,9.0,0,2024,Las Vegas Grand Prix
LAW,0 days 00:01:40.339480,3.0,2,0 days 00:01:34.087000,14.0,0,2024,Las Vegas Grand Prix
LEC,0 days 00:01:38.805040,3.0,2,0 days 00:01:32.783000,4.0,0,2024,Las Vegas Grand Prix
MAG,0 days 00:01:39.915440,2.0,1,0 days 00:01:33.297000,12.0,0,2024,Las Vegas Grand Prix
NOR,0 days 00:01:39.387080,4.0,3,0 days 00:01:33.008000,6.0,0,2024,Las Vegas Grand Prix
OCO,0 days 00:01:40.572020408,4.0,3,0 days 00:01:33.221000,11.0,0,2024,Las Vegas Grand Prix
PER,0 days 00:01:39.781660,3.0,2,0 days 00:01:34.155000,15.0,0,2024,Las Vegas Grand Prix
PIA,0 days 00:01:39.546680,3.0,2,0 days 00:01:33.024000,8.0,0,2024,Las Vegas Grand Prix
RUS,0 days 00:01:38.519380,3.0,2,0 days 00:01:32.312000,1.0,1,2024,Las Vegas Grand Prix
SAI,0 days 00:01:38.757500,3.0,2,0 days 00:01:32.410000,2.0,0,2024,Las Vegas Grand Prix
STR,0 days 00:01:40.201420,3.0,2,0 days 00:01:34.484000,18.0,0,2024,Las Vegas Grand Prix
TSU,0 days 00:01:39.775540,3.0,2,0 days 00:01:33.029000,7.0,0,2024,Las Vegas Grand Prix
VER,0 days 00:01:38.851020,3.0,2,0 days 00:01:32.797000,5.0,0,2024,Las Vegas Grand Prix
ZHO,0 days 00:01:40.001080,3.0,2,0 days 00:01:33.566000,13.0,0,2024,Las Vegas Grand Prix
