Driver,avg_race_pace,max_stint,pitstops,quali_pace,grid_position,win,season,gp
ALB,0 days 00:01:22.436553846,3.0,2,0 days 00:01:13.153000,20.0,0,2024,Spanish Grand Prix
ALO,0 days 00:01:21.688061538,3.0,2,0 days 00:01:12.128000,10.0,0,2024,Spanish Grand Prix
BOT,0 days 00:01:22.362153846,3.0,2,0 days 00:01:12.227000,12.0,0,2024,Spanish Grand Prix
GAS,0 days 00:01:21.246242424,3.0,2,0 days 00:01:11.857000,7.0,0,2024,Spanish Grand Prix
HAM,0 days 00:01:20.576015151,3.0,2,0 days 00:01:11.701000,3.0,0,2024,Spanish Grand Prix
HUL,0 days 00:01:21.430939393,3.0,2,0 days 00:01:12.310000,13.0,0,2024,Spanish Grand Prix
LEC,0 days 00:01:20.650545454,3.0,2,0 days 00:01:11.731000,5.0,0,2024,Spanish Grand Prix
MAG,0 days 00:01:22.384846153,3.0,2,0 days 00:01:12.937000,16.0,0,2024,Spanish Grand Prix
NOR,0 days 00:01:20.340090909,3.0,2,0 days 00:01:11.383000,1.0,0,2024,Spanish Grand Prix
OCO,0 days 00:01:21.395696969,3.0,2,0 days 00:01:12.109000,8.0,0,2024,Spanish Grand Prix
PER,0 days 00:01:21.208348484,4.0,3,0 days 00:01:12.054000,11.0,0,2024,Spanish Grand Prix
PIA,0 days 00:01:20.817984848,3.0,2,0 days 00:01:12.011000,9.0,0,2024,Spanish Grand Prix
RIC,0 days 00:01:22.219646153,3.0,2,0 days 00:01:13.075000,18.0,0,2024,Spanish Grand Prix
RUS,0 days 00:01:20.644651515,3.0,2,0 days 00:01:11.703000,4.0,0,2024,Spanish Grand Prix
SAI,0 days 00:01:20.776590909,3.0,2,0 days 00:01:11.736000,6.0,0,2024,Spanish Grand Prix
SAR,0 days 00:01:22.892078125,3.0,2,0 days 00:01:13.509000,19.0,0,2024,Spanish Grand Prix
STR,0 days 00:01:21.930446153,3.0,2,0 days 00:01:12.372000,14.0,0,2024,Spanish Grand Prix
TSU,0 days 00:01:22.525092307,4.0,3,0 days 00:01:12.985000,17.0,0,2024,Spanish Grand Prix
VER,0 days 00:01:20.306469696,3.0,2,0 days 00:01:11.403000,2.0,1,2024,Spanish Grand Prix
ZHO,0 days 00:01:21.780046153,3.0,2,0 days 00:01:12.738000,15.0,0,2024,Spanish Grand Prix
